Threads;NImgs;RowsFilter;executionTime
1;10;7;10557,780
1;10;7;10533,076
1;10;7;10461,100
1;10;7;10559,754
1;10;7;10533,206
2;10;7;5345,678
2;10;7;5323,964
2;10;7;5414,857
2;10;7;5408,475
2;10;7;5385,685
3;10;7;3656,872
3;10;7;3664,104
3;10;7;3714,427
3;10;7;3696,072
3;10;7;3713,862
4;10;7;3174,081
4;10;7;3177,912
4;10;7;3284,320
4;10;7;3218,443
4;10;7;3142,958
5;10;7;2814,818
5;10;7;2955,445
5;10;7;2813,453
5;10;7;2903,025
5;10;7;2971,770
6;10;7;2692,472
6;10;7;2737,824
6;10;7;2658,164
6;10;7;2608,298
6;10;7;2689,371
7;10;7;2269,612
7;10;7;2285,601
7;10;7;2272,943
7;10;7;2177,923
7;10;7;2285,673
8;10;7;1942,074
8;10;7;1975,221
8;10;7;1922,368
8;10;7;1957,757
8;10;7;1848,373
9;10;7;1816,473
9;10;7;1910,064
9;10;7;1821,172
9;10;7;1806,721
9;10;7;1832,166
10;10;7;1790,109
10;10;7;1790,905
10;10;7;1763,343
10;10;7;1781,253
10;10;7;1705,509
11;10;7;1670,959
11;10;7;1708,377
11;10;7;1711,336
11;10;7;1757,870
11;10;7;1670,053
12;10;7;1656,890
12;10;7;1649,480
12;10;7;1617,199
12;10;7;1653,588
12;10;7;1689,581
13;10;7;1586,385
13;10;7;1644,124
13;10;7;1601,270
13;10;7;1565,105
13;10;7;1617,928
14;10;7;1527,337
14;10;7;1560,569
14;10;7;1510,517
14;10;7;1534,914
14;10;7;1567,917
15;10;7;1505,476
15;10;7;1496,613
15;10;7;1505,976
15;10;7;1503,666
15;10;7;1481,275
16;10;7;1451,761
16;10;7;1438,951
16;10;7;1466,528
16;10;7;1415,633
16;10;7;1453,084
17;10;7;1431,998
17;10;7;1437,828
17;10;7;1455,878
17;10;7;1446,429
17;10;7;1445,013
18;10;7;1509,951
18;10;7;1479,036
18;10;7;1448,545
18;10;7;1449,465
18;10;7;1484,184
19;10;7;1466,191
19;10;7;1454,922
19;10;7;1445,536
19;10;7;1473,252
19;10;7;1440,934
20;10;7;1459,583
20;10;7;1456,587
20;10;7;1491,734
20;10;7;1473,464
20;10;7;1490,053
21;10;7;1446,290
21;10;7;1503,367
21;10;7;1499,560
21;10;7;1484,654
21;10;7;1461,494
22;10;7;1514,601
22;10;7;1497,977
22;10;7;1477,737
22;10;7;1487,702
22;10;7;1482,469
